Loading repository data...
Reading installed packages...

S  | Name                                  | Type    | Version                             | Arch   | Repository             
i  | cyrus-sasl                            | package | 2.1.27-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | cyrus-sasl-crammd5                    | package | 2.1.27-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | cyrus-sasl-digestmd5                  | package | 2.1.27-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | cyrus-sasl-gssapi                     | package | 2.1.27-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | cyrus-sasl-plain                      | package | 2.1.27-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | dbus-1                                | package | 1.12.10-1.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | dbus-1-glib                           | package | 0.108-3.4                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | dbus-1-glib-tool                      | package | 0.108-3.4                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | dbus-1-x11                            | package | 1.12.10-1.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | dconf                                 | package | 0.30.1-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | dejavu-fonts                          | package | 2.37-1.6                            | noarch | openSUSE-Tumbleweed-Oss
i  | deltarpm                              | package | 3.6.1-3.2                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | desktop-data-openSUSE                 | package | 15.0.20171024-2.2                   | noarch | openSUSE-Tumbleweed-Oss
i  | desktop-file-utils                    | package | 0.23-4.2                            | x86_64 | openSUSE-Tumbleweed-Oss
i  | desktop-translations                  | package | 84.87.20180507.9a26f9e2-1.1         | noarch | openSUSE-Tumbleweed-Oss
i  | device-mapper                         | package | 1.02.149-3.1                        | x86_64 | openSUSE-Tumbleweed-Oss
i  | dhcp                                  | package | 4.3.5-6.2                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | dhcp-client                           | package | 4.3.5-6.2                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | dialog                                | package | 1.3-5.1                             | x86_64 | openSUSE-Tumbleweed-Oss
i  | dialog-lang                           | package | 1.3-5.1                             | noarch | openSUSE-Tumbleweed-Oss
i  | diffutils                             | package | 3.6-2.3                             | x86_64 | openSUSE-Tumbleweed-Oss
i  | diffutils-lang                        | package | 3.6-2.3                             | noarch | openSUSE-Tumbleweed-Oss
i  | discover                              | package | 5.14.4-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | discover-backend-flatpak              | package | 5.14.4-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | discover-backend-fwupd                | package | 5.14.4-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | discover-backend-packagekit           | package | 5.14.4-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | discover-lang                         | package | 5.14.4-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | dmidecode                             | package | 3.2-2.1                             | x86_64 | openSUSE-Tumbleweed-Oss
i  | dmraid                                | package | 1.0.0.rc16-40.3                     | x86_64 | openSUSE-Tumbleweed-Oss
i  | dmz-icon-theme-cursors                | package | 11.3.0-2.3                          | noarch | openSUSE-Tumbleweed-Oss
i  | dnsmasq                               | package | 2.80-1.1                            | x86_64 | openSUSE-Tumbleweed-Oss
i  | docbook-xsl-stylesheets               | package | 1.79.2-2.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | docbook_4                             | package | 4.5-142.2                           | noarch | openSUSE-Tumbleweed-Oss
i  | dolphin                               | package | 18.12.0-1.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | dolphin-part                          | package | 18.12.0-1.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | dolphin-part-lang                     | package | 18.12.0-1.1                         | noarch | openSUSE-Tumbleweed-Oss
i  | dos2unix                              | package | 7.4.0-1.2                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | dosfstools                            | package | 4.1-1.4                             | x86_64 | openSUSE-Tumbleweed-Oss
i  | dracut                                | package | 044.1-22.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | drkonqi5                              | package | 5.14.4-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | drkonqi5-lang                         | package | 5.14.4-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i+ | e2fsprogs                             | package | 1.44.4-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | ebtables                              | package | 2.0.10.4-21.1                       | x86_64 | openSUSE-Tumbleweed-Oss
i  | efibootmgr                            | package | 14-3.2                              | x86_64 | openSUSE-Tumbleweed-Oss
i  | efont-unicode-bitmap-fonts            | package | 0.4.2-227.5                         | noarch | openSUSE-Tumbleweed-Oss
i  | elfutils                              | package | 0.175-1.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | elfutils-lang                         | package | 0.175-1.1                           | noarch | openSUSE-Tumbleweed-Oss
i  | enblend-enfuse                        | package | 4.2-4.2                             | x86_64 | openSUSE-Tumbleweed-Oss
i  | enchant-2-backend-hunspell            | package | 2.2.3-3.4                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | enchant-data                          | package | 2.2.3-3.4                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | enhanced_base                         | pattern | 20170410-8.1                        | x86_64 | openSUSE-Tumbleweed-Oss
i  | espeak-ng                             | package | 1.49.2-4.3                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | ethtool                               | package | 4.19-1.1                            | x86_64 | openSUSE-Tumbleweed-Oss
i  | eventviews                            | package | 18.12.0-1.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | eventviews-lang                       | package | 18.12.0-1.1                         | noarch | openSUSE-Tumbleweed-Oss
i  | exiftool                              | package | 11.11-1.2                           | noarch | openSUSE-Tumbleweed-Oss
i  | expat                                 | package | 2.2.6-1.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | fdupes                                | package | 1.61-1.15                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | ffmpegthumbs                          | package | 18.08.3-1.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | file                                  | package | 5.35-1.1                            | x86_64 | openSUSE-Tumbleweed-Oss
i  | file-magic                            | package | 5.35-1.1                            | noarch | openSUSE-Tumbleweed-Oss
i  | filesystem                            | package | 15.5-26.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | fillup                                | package | 1.42-274.2                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | findutils                             | package | 4.6.0-4.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | findutils-lang                        | package | 4.6.0-4.1                           | noarch | openSUSE-Tumbleweed-Oss
i+ | firewalld                             | package | 0.6.3-1.1                           | noarch | openSUSE-Tumbleweed-Oss
i  | firewalld-lang                        | package | 0.6.3-1.1                           | noarch | openSUSE-Tumbleweed-Oss
i  | flatpak                               | package | 1.0.6-1.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | fontconfig                            | package | 2.12.6-2.4                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | fonts                                 | pattern | 20170319-5.1                        | x86_64 | openSUSE-Tumbleweed-Oss
i  | fonts-config                          | package | 20160921-5.1                        | noarch | openSUSE-Tumbleweed-Oss
i  | frameworkintegration-plugin           | package | 5.53.0-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
